year_month,average_rainfall
2018-07,11.00483870967742
2018-08,19.843548387096774
2018-09,12.780833333333334
2018-10,3.367741935483871
2018-11,2.455833333333333
2018-12,0.3903225806451613
2019-01,0.1564516129032258
2019-02,2.4625
2019-03,6.019354838709678
2019-04,6.196666666666667
2019-05,7.570161290322581
2019-06,14.305
2019-07,10.601612903225806
2019-08,19.241129032258065
2019-09,6.634166666666667
2019-10,4.826612903225806
2019-11,0.0016666666666666668
2019-12,0.4370967741935484
2020-01,0.48145161290322586
2020-02,2.7560344827586207
2020-03,1.3419354838709678
2020-04,2.5949999999999998
2020-05,11.373387096774193
2020-06,13.2475
2020-07,4.047580645161291
2020-08,14.466129032258063
2020-09,23.6275
2020-10,4.5975806451612895
2020-11,0.17416666666666666
2020-12,0.05241935483870968
2021-01,0.0008064516129032258
2021-02,2.220535714285714
2021-03,0.11935483870967742
2021-04,1.0866666666666667
2021-05,2.10241935483871
2021-06,20.936666666666667
2021-07,12.246774193548386
2021-08,11.30967741935484
2021-09,4.3225
2021-10,20.362903225806452
2021-11,0.19833333333333333
2021-12,0.6330645161290323
2022-01,0.13709677419354838
2022-02,6.020535714285714
2022-03,2.995967741935484
2022-04,0.12083333333333333
2022-05,14.084677419354838
2022-06,11.6425
2022-07,5.116129032258065
2022-08,19.83225806451613
2022-09,5.7108333333333325
2022-10,1.6145161290322583
2022-11,4.361666666666666
2022-12,0.8338709677419354
2023-01,0.592741935483871
2023-02,0.0625
2023-03,2.271774193548387
2023-04,2.5866666666666664
2023-05,5.900806451612904
2023-06,16.364166666666666
2023-07,5.655645161290322
2023-08,4.54274193548387
2023-09,35.5725
2023-10,17.618548387096773
2023-11,0.11166666666666666
2023-12,0.037096774193548385
2024-01,0.2217741935483871
2024-02,0.15258620689655172
2024-03,0.7048387096774192
2024-04,8.574166666666667
2024-05,9.444354838709677
2024-06,9.378333333333334
2024-07,14.792741935483871
2024-08,8.437903225806451
2024-09,17.365833333333335
2024-10,0.3717741935483871
